,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
报告期,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
            荷兰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            挪威,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            其他地区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            2014年之前地区分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    毛利,"1,327,100","827,400","369,600","1,766,000","1,322,200","904,400","451,100","2,085,300","1,507,600","969,400","546,000","1,360,600","875,900","509,900","221,500","663,000","456,400","250,100","123,400","406,900","267,800","148,679","56,574","404,202","259,912","107,546","45,653","222,249","178,370","133,456","66,795","159,926","116,398","52,724","25,247","92,350","70,494","47,344","26,007","88,167"
        产品,"1,327,100","827,400","369,600","1,766,000","1,322,200","904,400","451,100","2,085,300","1,507,600","969,400","546,000","1,360,600","875,900","509,900","221,500","663,000","456,400","250,100","123,400","406,900","267,800","148,679","56,574","404,202","259,912","107,546","45,653","222,249","178,370","133,456","66,795","159,926","116,398","52,724","25,247","92,350","70,494","47,344","26,007","88,167"
            汽车销售,"821,900","513,100","256,300","1,338,800","996,000","703,400","345,600","1,761,100","1,280,300","811,700","460,000","1,171,000","737,400","413,100","173,000","490,800","319,700","160,900","84,000","341,900","222,400","123,960","43,655","352,733","220,716","92,427","39,016","144,997","140,079","107,969","53,841","101,862","115,098","51,932","24,675","74,897","69,711","47,328","26,158","66,641"
            汽车租赁,"61,900","42,000","20,700","85,200","64,800","46,000","23,100","96,700","72,000","48,000","26,000","66,400","43,200","28,100","13,700","48,900","35,700","23,700","11,700","41,000","30,400","20,007","9,803","39,504","27,302","17,184","6,894","39,832","29,678","18,585","8,851","27,977",,,,,,,,
            汽车监管信贷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            储能,"186,800","114,300","40,300","114,100","82,700","44,600","16,800","28,800","12,900","2,500",,,,,,"1,800","5,300","3,200","1,100","19,000","13,900","5,046",777,"19,035","14,756","7,879","3,466","24,173","22,541","14,519","6,217",306,,,,,,,,
            服务及其他收入,"49,400","24,800","8,100","48,900","43,000","30,100","13,500","21,100","11,500","4,900",,,,,,,,,,,,,,,,,,,,,,,"1,300",793,572,583,783,16,,
            2014年之前产品分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        地区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            美国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中国大陆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            荷兰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            挪威,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            其他地区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            2014年之前地区分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    毛利率(%),18.44,17.68,17.35,18.25,18.46,18.74,19.34,25.60,26.38,27.16,29.11,25.28,24.26,22.82,21.32,21.02,21.95,20.81,20.62,16.56,15.58,13.65,12.46,18.83,18.26,14.51,13.39,18.90,21.06,24.33,24.77,22.85,24.68,21.81,22.01,22.82,24.90,24.99,27.67,27.57
